id,name,duplicateCount,elementCount,relationshipCount,viewCount,num_formats,hasWarning,hasDuplicate,rel_elem_ratio,view_elem_ratio,source_GitHub,source_Other,source_Unknown,language_bs,language_ca,language_cs,language_da,language_de,language_en,language_es,language_fi,language_fr,language_hr,language_id,language_it,language_ko,language_ms,language_nb,language_nl,language_nn,language_pl,language_pt,language_ru,language_sl,language_sv,language_tl,language_vi,language_yo,language_zh,arb_outcome
5bc40983-7970-4c26-a480-5e183da9d19d,NEO Architecture Reference Model for .NET Developers (neo-charm),10,136,48,6,4,0,1,0.35294117647058826,0.04411764705882353,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
id-8d57243ff9f94eaeaad5033a98122432,archimate_sample,0,192,265,3,4,0,0,1.3802083333333333,0.015625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
id-65ad485f-e159-4e69-91f1-eac09ebb9903,Interoperability testing snippet-6,0,21,20,1,4,0,0,0.9523809523809523,0.047619047619047616,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49ed2ecd-bd45-42c5-9558-97e1f801c572,TELEGFONICA,0,300,497,19,4,0,0,1.6566666666666667,0.06333333333333334,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_LgtawLIIEeqEM7mFKilpXw,test,0,55,50,1,4,0,0,0.9090909090909091,0.01818181818181818,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
862f0e22-ecd7-476e-bf97-b3a17b8826d7,4 Referring to Objects,0,16,14,5,4,0,0,0.875,0.3125,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
_WZsIAFjZEeioG62n2D5JZQ,Data model test,0,20,16,1,4,0,0,0.8,0.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
_sKoHgE3UEeqesv9gci-YTQ,Core QDF v1.7.2,0,78,58,1,4,0,0,0.7435897435897436,0.01282051282051282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
_e2vGYGjtEeqH6JNbB4-uaw,CU20,0,59,51,1,4,0,0,0.864406779661017,0.01694915254237288,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aa3ad428,6b Two Step View,1,48,70,1,4,0,1,1.4583333333333333,0.020833333333333332,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
id-4895e6f2-67db-4bc3-914f-1fae17d11ef5,5 Inventory and Accounting,0,96,125,17,4,0,0,1.3020833333333333,0.17708333333333334,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d43b62e8-4d7a-4573-aa7a-d7e734fbcac3,ArchiServices,0,60,97,11,4,0,0,1.6166666666666667,0.18333333333333332,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_2Y_6IKlUEeqEM7mFKilpXw,UASSISTER1920GENAPKLSANIM1810511053,0,105,118,2,4,0,0,1.1238095238095238,0.01904761904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
id-40347b68c17246488516169b521ed649,3SIS-Si-SuporteDilan,0,103,139,1,4,0,0,1.3495145631067962,0.009708737864077669,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
id-750714ea836644778401a62d20cb8dfe,Vision Module and Vehicle Controls,0,19,25,1,4,0,0,1.3157894736842106,0.05263157894736842,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
_lL5PANpYEeyR_KDGOPNL5w,Surgepay Merchant Account,0,26,27,1,4,0,0,1.0384615384615385,0.038461538461538464,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58557cbb,epp-price,0,70,71,2,4,0,0,1.0142857142857142,0.02857142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
